Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2022-06-21T10:28:49.000Z,text,योगको महत्वका बारेमा जनचेतना अभिबृद्धि गर्ने र यसका सरल विधिहरुको जनसाधारणमा पहुँच पुर्याउने काममा यस दिवसलाई सबै तह र क्षेत्रले सार्थक बनाउन सकुन् भन्ने कामना गर्दछु ।,,,118,6,2
2022-06-21T10:28:48.000Z,text,"योग साधना हाम्रो प्राचीन सभ्यताको मौलिक उपज हो । तनाव, अवसाद, द्वेष, ईश्र्या र निन्दाका दुष्प्रभावबाट मुक्त गर्दै समाजलाई स्वस्थ, खुशी र सकारात्मक मनोचेतनाले डोर्याउन योगलाई मानव जीवनको अङ्ग बनाइनु पर्छ ।",,,162,9,12
2022-05-30T11:02:43.000Z,text,पोखराबाट जोमसोमकालागि १९ जना यात्रु लिएर उडेको तारा एयरको ९ एएनईटी विमान मुस्ताङको थसाङमा दुर्घटनाग्रस्त अवस्थामा फेला परेको खबरले अत्यन्त मर्माहत बनाएको छ। दुर्घटनामा ज्यान गुमाउनु भएका सबैमा भावपूर्ण श्रद्धासुमन अर्पण गर्दै विपत्तिमा परेका परिवारजनमा गहिरो समवेदना प्रकट गर्दछु।,,,1.3K,94,95
2022-03-08T00:35:22.000Z,text,"अन्तर्राष्ट्रिय श्रमिक महिला दिवस, संसारभरका महिलाहरुमा समानताको हक स्थापित गर्ने प्रेरणादायी दिवस हो। यस दिवसको सुखद अवसरमा स्वदेश तथा विदेशमा रहनुहुने सम्पूर्ण दिदीबहिनीहरुमा सुस्वास्थ्य, सुख र समृद्धिको हार्दिक शुभकामना व्यक्त गर्दछु।",,,1.3K,84,83
2022-03-06T14:13:32.000Z,text,वरिष्ठ वामपन्थी नेता कमरेड कृष्णराज बर्माको निधनको खबरले मलाई दुखित तुल्याएको छ । दिवंगत नेता बर्माप्रति भावपूर्ण श्रद्धाञ्जली अर्पण गर्दै शोकसन्तप्त परिवाजनप्रति गहिरो समवेदना व्यक्त गर्दछु। नेपालको कम्युनिस्ट आन्दोलनमा उहाँको योगदान अविस्मरणीय रहने छ ।,,,894,46,69
2022-02-24T14:43:54.000Z,text,नेपाली लोकगीत र अभिनय क्षेत्रका स्थापित कलाकार जयनन्द लामाको निधनको खबरले दुखित तुल्याएको छ। दिवंगत कलाकार जयनन्द लामाप्रति श्रद्धासुमन अर्पण गर्दै शोकसन्तप्त परिवारजनमा गहिरो समवेदना व्यक्त गर्दछु ।,,,1.7K,80,95
2021-07-21T02:14:23.000Z,text,"मुस्लिम समुदायको महान पर्व 
इद उल अजहा (बकर इद)
को अबसरमा 
सुख, शान्ति, सुस्वास्थ्यको 
हार्दिक शुभकामना व्यक्त गर्दछु ।",,,4.2K,247,202
2021-05-26T05:14:15.000Z,text,"किरात, सुनुवार, राई, लिम्बु र याक्खा समुदायको महान चाड उभौली पर्वको अवसरमा समस्त दिदीबहिनी तथा दाजुभाइहरुमा सुख, शान्ति, समृद्धि र आरोग्यको शुभकामना व्यक्त गर्दछु। कोभिड १९ महाव्याधिको विषम परिस्थितिमा स्वास्थ्य सावधानी अपनाएर आ–आफ्ना मौलिक पर्व मनाउन सबैमा हार्दिक आह्वान गर्दछु।",,,2.9K,200,365
2021-05-16T12:27:49.000Z,text,वरिष्ठ गीतकार तथा चलचित्र निर्देशक चेतन कार्कीको निधनको खबरले मलाई दुःखित तुल्याएको छ । गीतकार कार्कीप्रति भावपूर्ण श्रद्धासुमन अर्पण गर्दै शोक सन्तप्त परिवारजनप्रति गहिरो समवेदना प्रकट गर्दछु ।,,,1.9K,130,219
2021-05-14T15:06:24.000Z,text,तीनहजार जना अट्ने क्षमताको अहिलेसम्मको सबैभन्दा ठूलो गोदावरी सनराइज सम्मेलन केन्द्र उद्घाटन गरी विकास र आधुनिकीकरणको बाटोमा आज हामीले एक पाइला अघि बढाएका छौं ।कोभिड महामारीको बीचमै निर्माण कार्यलाई तीब्र रफ्तारमा अघि बढाएर सम्पन्न गर्न योगदान पुर्याउने सबैलाई धन्यवाद दिन चाहन्छु।,,,3.1K,369,888
2021-05-14T02:45:53.000Z,text,"इस्लाम समुदायको पवित्र पर्व ईदुल फित्रको अवसरमा स्वदेश तथा विदेशमा रहनु भएका इस्लाम धर्मावलम्बी दिदीबहिनी तथा दाजुभाइमा सुस्वास्थ्य, दीर्घायु र उत्तरोत्तर प्रगतिको हार्दिक शुभकामना व्यक्त गर्दछु।",,,3.3K,239,256
2021-05-12T03:49:39.000Z,image,नेकपा (एमाले)का केन्द्रीय सदस्य तथा बागमती प्रदेशसभा सदस्य माननीय पशुपति चौलागाईंको निधनको खबरले मलाई अत्यन्त दुःखित तुल्याएको छ । कमरेड पशुपति चौलागाईंप्रति भावपूर्ण श्रद्धासुमन अर्पण गर्दछु । शोकाकुल आफन्त र परिवारजनमा गहिरो समवेदना प्रकट गर्दछु ।,,https://pbs.twimg.com/media/E1KJLskVEAQW-v4?format=jpg&name=900x900,1.4K,111,215
2021-05-10T05:10:32.000Z,text,"यस्तो अवस्थामा आन्तरिक मतभेद वा असन्तुष्टि केही भए आपसी छलफलबाट समाधान गर्न सकिने नै छ। तसर्थ, हतारोमा कुनै पनि अनुचित निर्णयमा जान वाञ्छनीय नहुने कुरामा म सबै माननीयज्यूहरूको ध्यानाकर्षण गराउन चाहन्छु। आउनुस्, केही समस्या भए सँगै बसौं, छलफल गरौं र समाधान गरौं ।",,,1.2K,168,162
2021-05-06T09:49:16.000Z,text,मूर्धन्य गायक प्रेमध्वज प्रधानको असामयिक निधनको खबरले मलाई दुःखी तुल्याएको छ । दिवंगत प्रधानप्रति भावपूर्ण श्रद्धाञ्जलि अर्पण गर्दै शोकसन्तप्त परिवारजनमा गहिरो समवेदना प्रकट गर्दछु । नेपाली गीसंगीतको क्षेत्रमा उहाँको योगदान सदा स्मरणीय रहने छ ।,,,2.6K,196,173
2021-05-06T08:13:06.000Z,text,"राष्ट्रिय समावेशी आयोगका सदस्य 
माननीय श्री रामचन्द्र जोशीको असामयिक निधनको खवरबाट दुःखित छु। 
उहाँप्रति भावपूर्ण श्रद्धाञ्जलि व्यक्त गर्दै
शोकाकुल परिवारजनमा गहिरो समवेदना प्रकट गर्दछु ।",,,820,50,81
2021-05-01T04:45:02.000Z,text,मे दिवसकाे उपलक्ष्यमा हार्दिक शुभ कामना !!,,,1.1K,60,136
2021-04-26T05:32:59.000Z,image,"नेपाली राजनीतिका सम्मानित अग्रज, नेकपा (एमाले)का पहिलो अध्यक्ष, नेपालका पहिलो कम्युनिस्ट प्रधानमन्त्री मनमोहन अधिकारीको २३ औं स्मृति दिवसका अवसरमा उहाँप्रति हार्दिक श्रद्धासुमन अर्पण गर्दछु ।",,https://pbs.twimg.com/media/Ez4HZ0FVUAIbUNu?format=jpg&name=360x360,1.7K,86,101
