Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2024-02-13T09:13:58.000Z,image,आज कोही कसैले के दिवस मनाए थाहा भएन।मैले चण्डेश्वरी मावि बनेपा ४ नालाको हिरक दिवस समापन समारोह वालवालिकाको भब्य प्रस्तुति हेरेर मजाले मनाएं।धन्यवाद स्कुल परिवार!!!,,https://pbs.twimg.com/media/GGNMYdUXAAASWFr?format=jpg&name=medium,121,11,6
2024-02-11T08:01:41.000Z,text,त्यो सक्यो अब,,,1,,1
2024-02-11T06:23:27.000Z,text,त्यो समय सकियो,,,,,1
2024-02-11T06:10:03.000Z,text,कांध गलुन्जेल पालैपालो बोक्ने छदैछन के सक्किनु प्रचण्डसंग जादुमय कला छ के एकैसाथ धम्काउने र फकाउने!,,,3,,3
2024-02-11T05:55:32.000Z,text,म संग त्यसो गर्ने जागर छैन बेकारमा दुर्छे गाईको पछि किन लाग्नु लात्ती मात्र खान।,,,7,1,1
2024-02-11T02:43:36.000Z,text,चिन्ता हैन चासो मात्र हो,,,2,,
2024-02-11T02:27:42.000Z,text,"पुष्पकमल नेतृत्वको माओवादीले दुईवटा राम्रो काम गर्ला कि भनेर सास रोकेर बस्या थे,त्यो पनि लास्टा उही भो।नाम बदल्ने कुरा हराएछ र सोली आकारको पार्टी संरचना बदल्ने कुरो पनि ९९ बाट १५१ हुदै अन्तिममा महाधिबेशनले केकको संख्या टुंगो लाउने भनेछ।त्यसले पनि नेताको फुली थपेरै समय सक्ने भएछ।",,,109,15,16
2024-02-10T14:15:49.000Z,text,तत्काल नगर्ला सर।,,,1,,
2024-02-10T10:31:57.000Z,text,सैनिक जुन्ताले राखेको हो बसेको होईन त्यही भएर बदनाम छ पाकिस्तानी लोकतन्त्र ।,,,,,1
2024-02-10T10:16:51.000Z,text,जनादेश मानिन्छ तर धांधली लोकतन्त्र होईन मानिन्न,,,1,,1
2024-02-10T06:53:26.000Z,text,यहाको सेनाले त्यस्तो नचाहिया काम गर्दैन।,,,,,2
2024-02-10T05:38:17.000Z,text,अति नै राम्रो काम,,,1,,
2024-02-10T05:36:56.000Z,text,पाकिस्तान र बंगलादेश त नमुना नै हुन  के रे,,,1,,1
2024-02-10T05:30:06.000Z,text,खानको दल रोजेका हुन जनताले सैनिक जन्ताको सममर्थकलाई होईन।,,,4,1,2
