"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-03-13T09:10:21.000Z","text","","","","26","1","1"
"2023-03-11T15:06:27.000Z","text","संविधानको धारा ७० को "फरक फरक लिंग #वा समुदाय" को मात्रै पालना गर्ने कि धारा ३८(४) को "राज्यका सबै निकायमा महिलालाई समानुपातिक समावेशी" सहभागिताको पनि पालन गर्ने हो? संविधानको एउटा धारा पालन गर्ने र अर्को नगर्ने हुँदैन। दुइटै धारालाई मान्य हुने गरी नै उम्मेदबारी हुनुपर्छ","","","141","12","6"
"2023-03-11T13:02:06.000Z","text","","","","70","1","5"
"2023-03-11T12:56:52.000Z","image","उपराष्ट्रपतिको निर्वाचन, मधेश र थरूहट आन्दोलनका मुद्दाहरूको सम्बोधन, नागरिकता विधेयक, आन्दोलनकारीमाथिको मुद्दा फिर्ता, राजबंदीहरूको रिहाई सहित, विगतका सहमतिहरूको कार्यान्वयन सहितका एजेन्डामा सहकार्य गर्दै अगाडि बढ्न #लोसपा, #नाउपा र #जनमत पार्टी सहमत।","","https://pbs.twimg.com/media/Fq8L6FZXoAEExk5?format=jpg&name=small","103","10","6"
"2023-03-11T10:40:58.000Z","image","निर्वाचन आयोगले संविधानको धारा ३८(४) उद्धृत गर्दै हरेक हालतमा #उपराष्ट्रपतिको उम्मेदबार #महिला नै हुनु पर्ने अडान लिए पछि अहिले कुनै पनि दबाव वा प्रभावमा आएर पुरुष उम्मेदबार दर्ता गरिनु अत्यन्त खेदजनक छ र यसले आयोगको विश्वसनीयतामाथि नै प्रश्न चिन्ह खडा गरेको छ। हामी ऊजुरी दिन्छौं","","https://pbs.twimg.com/media/Fq7sqd8X0AIRlbi?format=jpg&name=small,https://pbs.twimg.com/media/Fq7sqd-WAAAhO6L?format=jpg&name=small,https://pbs.twimg.com/media/Fq7sqd-WAAIh__K?format=jpg&name=900x900","156","12","14"
"2023-03-10T14:15:43.000Z","text","","","","52","7","3"
"2023-03-03T16:12:31.000Z","image","#नियमित #अन्तरक्रिया #कार्यक्रम: आज 'मधेशको विकासका योजनाहरू - प्रस्ताव, कार्यान्वयन र चुनौतीहरू' विषयक अन्तरक्रियामा भाग लिनु हुने सबैमा हार्दिक धन्यवाद 🙏","","https://pbs.twimg.com/media/FqTsd57aUAAS1F1?format=jpg&name=900x900,https://pbs.twimg.com/media/FqTsepQaMAA2334?format=jpg&name=small,https://pbs.twimg.com/media/FqTsgBYaMAAzA5u?format=jpg&name=small","256","12","11"
"2023-02-26T16:00:54.000Z","image","मधेश प्रदेशको कृषि मन्त्रालयमा ३० दिन, प्रशंसनीय काम। दुर्गाग्यले  जनमत पार्टीले पाएको अर्को मन्त्रालय "शिक्षा, विज्ञान, प्रविधि तथा वाणिज्य मन्त्रालय" मा पटक-पटक ताकेता गर्दा पनि अहिलेसम्म कार्यभार समेत छुट्टयाएर हस्तान्तरण गरेको छैन।","","https://pbs.twimg.com/media/Fp55Oa4agAMQu-G?format=jpg&name=small,https://pbs.twimg.com/media/Fp55OayacAAkJcK?format=jpg&name=small,https://pbs.twimg.com/media/Fp55Oa3aMAEYwIn?format=jpg&name=small","399","32","25"
"2023-02-24T15:09:36.000Z","image","स-साना कुराको लागि मेरो लामो संघर्ष। आज अर्को दुई निषेधित क्षेत्र तोडियो: 
१. साहित्यिक महोत्सवमा पहिलो पटक सहभागी (विदेशमा जे-जति योग्य भए पनि आफ्नै भूमिमा योग्य हुन सकेको थिइन) 

२. जानकी मन्दिर प्राङ्गन (मेरो लागि अर्को निषेधित क्षेत्र) बाट बोल्ने मौका । 

आयोजकलाई धन्यवाद।","","https://pbs.twimg.com/media/FpvaJ9gaYAEvP1q?format=jpg&name=medium","1.1K","34","34"
"2023-02-20T15:43:07.000Z","text","","","","75","4","6"
